ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
39,4.8324737276762,0.00022682623783148266,2.1730868653035275e-05,0.006874591751886993,1199.8148465493605,0.05631680647915661,0.005395377255545599,1.7068354041204763
40,4.673488448058768,0.00023417061998056747,2.1006047829808773e-05,0.006346176040675579,1219.8464123059343,0.061121835182753756,0.005482874808979709,1.6564414700319892
41,4.52393199701681,0.0002414030866323304,2.026584489893955e-05,0.00581413611568093,1239.850572282395,0.06616009155513382,0.00555415497233503,1.5934501215111785
42,4.383053874090997,0.0002485569460595106,1.9511247397883992e-05,0.0052839395530156225,1259.8379499587932,0.07144367428898526,0.005608192513487385,1.5187829685433565
43,4.250210068564177,0.0002556735480269539,1.8743316943784084e-05,0.004760543235253124,1279.8281534900439,0.07698871340214168,0.005644009196596166,1.433500264715569
44,4.124936353344772,0.0002627808385596587,1.7963186864654346e-05,0.004242921691397311,1299.8779409370698,0.082809281425074,0.005660681366722426,1.3370582814686607
45,4.006847788808275,0.0002698938652696043,1.717205938584934e-05,0.0037292656383385377,1320.0589378377322,0.08891673152941956,0.005657347538053783,1.2286092951197645
46,3.8952973631068257,0.00027701187504266313,1.637120237425762e-05,0.0032193105398347576,1340.3445047870605,0.09531784350811602,0.0056332159251615286,1.1077421796186109
47,3.7897507437304516,0.0002841150485559828,1.556194566284802e-05,0.0027125016768357072,1360.7234642732035,0.10201251725138355,0.005587571860290142,0.9739333608303604
48,3.689703116020484,0.0002911640700054684,1.4745676965166645e-05,0.002208232576232405,1381.1755192010505,0.10899215273347788,0.005519785033626524,0.826613057769262
49,3.594739184204116,0.00029812440033311045,1.3923837409622699e-05,0.001706170545051553,1401.6952502159204,0.11624753132483796,0.005429316498845795,0.6652864162067326
50,3.504647707767902,0.00030499494263916144,1.3097916707395166e-05,0.0012063670113162458,1422.3441165417019,0.12378070448458164,0.0053157253798790495,0.4895981462366412
51,3.4192347687812386,0.00031177877948309913,1.2269447984213176e-05,0.0007095793867132348,1443.1868810945873,0.13159524711842885,0.0051786752201869,0.29949849344936924
52,3.3380565608394686,0.00031848176487647397,1.1440002301732246e-05,0.00021876203092918288,1464.1751646511848,0.13969598238597275,0.005017939914576025,0.09595581345530346
53,3.2606737477211163,0.00032510281309332614,1.0611182896310876e-05,-0.000263482012980647,1485.2416107025228,0.14808480182972034,0.0048334091650201454,-0.12001643820514783
54,3.186803858683998,0.00033164317238567215,9.784619168995622e-06,-0.0007367686581554247,1506.3708927184362,0.15676447117673614,0.0046250934058415785,-0.3482633103660376
55,3.1162203637756654,0.00033810752716111037,8.961960455185747e-06,-0.0012015548187539753,1527.562573948246,0.16573937147234538,0.004393128143209665,-0.5889988375057912
56,3.0489438166705742,0.0003444871955448226,8.14486961196176e-06,-0.001659530125883023,1548.9322989872317,0.17500727328901058,0.004137777660587921,-0.8430787733994815
57,2.984958737969555,0.00035077480890838736,7.335016454560074e-06,-0.002112189501077612,1570.58452127,0.18456586294311936,0.0038594380418903833,-1.1113628118819703
58,2.923975917119662,0.00035696850747154665,6.534071081415125e-06,-0.0025596028728026524,1592.4797852054653,0.19441512112842071,0.003558639471456141,-1.3940319443900697
59,2.8656545048466096,0.0003630685074763059,5.743697120843264e-06,-0.0030013376159895894,1614.5341019252305,0.204555882666312,0.0032360477709533204,-1.6909791198522532
60,2.809803344991556,0.00036906273050236023,4.965544940361296e-06,-0.003436319995143764,1636.7303747858664,0.2149816578058201,0.002892465141996631,-2.0016807665778913
61,2.7562929491416277,0.00037494259762165823,4.201244853008631e-06,-0.003863677254296407,1659.0788627134932,0.22568694617119958,0.002528830084944763,-2.3256400474217878
62,2.7049992815341346,0.00038070683554882183,3.452400361078599e-06,-0.004283416252693368,1681.587710233411,0.23666990975970517,0.00214621647318981,-2.662825153971237
63,2.6558263201072614,0.0003863573376970862,2.7205814725811946e-06,-0.004695769543375577,1704.277559733352,0.2479304221402819,0.0017458317654443565,-3.013335095696737
64,2.608661080157468,0.0003918950705685056,2.0073181288139236e-06,-0.005100951269086979,1727.1542319553769,0.2594676766419912,0.001329014346644233,-3.377261093215649
